INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,ADM_RATE,SAT_AVG,CURROPER,ADDR,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
Indiana University-South Bend,South Bend,IN,https://iusb.edu/,3,4,0.8688,1064.0,1,1700 Mishawaka Ave,0.0,0.0,0.0,0.0037,0.0373,0.0,0.0435,0.0,0.0759,0.0,0.0,0.0062,0.0,0.0087,0.01,0.056,0.0,0.0311,0.0062,0.0,0.01,0.0,0.0025,0.0,0.0149,0.0,0.046,0.0386,0.0398,0.0236,0.0,0.0,0.0,0.0,0.0423,0.2836,0.2114,0.0087
Indiana University-Bloomington,Bloomington,IN,www.indiana.edu/,3,4,0.8241,1322.0,1,107 South Indiana Ave.,0.0,0.0063,0.0035,0.0029,0.0763,0.0031,0.0761,0.0,0.0444,0.0037,0.0,0.0136,0.0101,0.0,0.0061,0.0257,0.0,0.0879,0.0083,0.0001,0.004,0.0707,0.0027,0.0,0.014,0.0,0.0426,0.0133,0.061,0.0448,0.0,0.0,0.0,0.0,0.0441,0.0306,0.2998,0.004
Indiana University-Northwest,Gary,IN,www.iun.edu/,3,4,0.8031,1068.0,1,3400 Broadway,0.0,0.0,0.0,0.0,0.0148,0.0,0.0297,0.0,0.0649,0.0,0.0,0.0,0.0,0.0,0.013,0.0649,0.0,0.0371,0.0056,0.0,0.0074,0.0,0.0,0.0,0.0019,0.0,0.102,0.0668,0.0705,0.0148,0.0,0.0,0.0,0.0,0.0223,0.3451,0.1299,0.0093
Indiana University-Southeast,New Albany,IN,https://ius.edu/,3,4,0.8523,1124.0,1,4201 Grant Line Rd,0.0,0.0119,0.0,0.0013,0.0569,0.0,0.0331,0.0,0.0873,0.0,0.0,0.0132,0.0,0.0,0.0238,0.1151,0.0,0.0582,0.0066,0.0,0.0212,0.0,0.0013,0.0,0.0251,0.0,0.1045,0.0423,0.0,0.0529,0.0,0.0,0.0,0.0,0.0265,0.0886,0.2156,0.0146
Indiana University-East,Richmond,IN,www.iue.edu/,3,4,0.7755,1092.0,1,2325 Chester Blvd,0.0,0.0,0.0,0.0,0.0513,0.0,0.0125,0.0,0.0663,0.0,0.0,0.0025,0.0,0.0,0.015,0.0488,0.0,0.0388,0.1188,0.0,0.0188,0.0,0.0,0.0,0.0,0.0,0.17,0.065,0.0213,0.0238,0.0,0.0,0.0,0.0,0.0063,0.1238,0.21,0.0075
International Business College-Indianapolis,Indianapolis,IN,www.ibcindianapolis.edu/,2,2,0.7176,Not Available,1,7205 Shadeland Station,0.6547,0.0,0.0,0.0,0.0,0.0,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791,0.1871,0.0504,0.0
Taylor Institute of Cosmetology II,Knox,IN,www.kbc.edu/,1,1,Not Available,Not Available,1,320 E Culver Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tricoci University of Beauty Culture-Lafayette,Lafayette,IN,www.tricociuniversity.edu/,1,1,Not Available,Not Available,1,833 Ferry Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln College of Technology-Indianapolis,Indianapolis,IN,www.lincolntech.edu/campus/indianapolis-in,1,2,Not Available,Not Available,1,7225 Winton Drive - Building 128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624,0.424,0.2795,0.0,0.0,0.0342,0.0,0.0
Manchester University,North Manchester,IN,https://www.manchester.edu/,3,4,0.6639,Not Available,1,604 E. College Ave,0.0,0.0263,0.0,0.0,0.0947,0.0,0.0,0.0,0.0842,0.0263,0.0,0.0053,0.0,0.0,0.0158,0.0,0.0,0.0263,0.0,0.0,0.0158,0.1474,0.0,0.0,0.0,0.0,0.0842,0.0263,0.0316,0.0421,0.0,0.0,0.0,0.0,0.0263,0.1316,0.1579,0.0579
Marian University,Indianapolis,IN,www.marian.edu/,3,4,0.9384,Not Available,1,3200 Cold Spring Rd,0.0,0.0,0.0,0.0,0.0309,0.0,0.0031,0.0,0.0633,0.0,0.0,0.0031,0.0,0.0031,0.0031,0.0201,0.0,0.0417,0.0108,0.0,0.0139,0.0432,0.017,0.0046,0.0062,0.0,0.0139,0.0,0.0093,0.0154,0.0,0.0,0.0,0.0,0.0077,0.5417,0.1312,0.017
Indiana Wesleyan University-Marion,Marion,IN,https://www.indwes.edu/,3,4,0.8672,1120.0,1,4201 South Washington Street,0.0,0.0,0.0,0.0,0.0312,0.0,0.014,0.0,0.1201,0.0,0.0,0.0,0.0,0.0,0.0078,0.0437,0.0,0.0577,0.0047,0.0,0.0218,0.0343,0.0062,0.0733,0.0062,0.0,0.0468,0.0156,0.0874,0.0265,0.0,0.0,0.0,0.0,0.053,0.2465,0.0983,0.0047
Martin University,Indianapolis,IN,www.martin.edu/,3,4,Not Available,Not Available,1,2186 North Sherman Drive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.2759,0.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724,0.2759,0.0
Mid-America College of Funeral Service,Jeffersonville,IN,www.mid-america.edu/,2,3,Not Available,Not Available,1,3111 Hamburg Pke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Michigan College of Barbering and Beauty,Kalamazoo,MI,westmichigancollegeofbarberingandbeauty.com/,1,1,Not Available,Not Available,1,3200 South Westnedge Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Notre Dame,Notre Dame,IN,www.nd.edu/,3,4,0.1291,1515.0,1,400 Main Building,0.0,0.0102,0.0097,0.0074,0.0,0.0,0.067,0.0,0.0,0.1507,0.0,0.0079,0.0,0.0,0.0162,0.0134,0.0,0.1045,0.0328,0.0,0.031,0.0,0.006,0.006,0.0208,0.0,0.0328,0.0,0.0,0.1512,0.0,0.0,0.0,0.0,0.0319,0.0217,0.2654,0.0134
Oakland City University,Oakland City,IN,www.oak.edu/,3,4,0.5572,1010.0,1,138 N Lucretia St,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,0.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0111,0.4722,0.0,0.0389,0.0056,0.0,0.0,0.0111,0.0167,0.0056,0.0,0.0,0.0167,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2611,0.0056
PJ's College of Cosmetology-Richmond,Richmond,IN,www.gotopjs.com/,1,1,Not Available,Not Available,1,50 Hayes Arboretum Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravenscroft Beauty College,Fort Wayne,IN,ravenscroftcollege.com/,1,1,Not Available,Not Available,1,4530 Lahmeyer Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rogers Academy of Hair Design,Evansville,IN,rogershair.com/,1,1,Not Available,Not Available,1,221 Main Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rose-Hulman Institute of Technology,Terre Haute,IN,https://www.rose-hulman.edu/,3,4,0.7302,1398.0,1,5500 Wabash Avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.0,0.7222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0314,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Saint Francis-Fort Wayne,Fort Wayne,IN,https://www.sf.edu/,3,4,0.9806,1050.0,1,2701 Spring St,0.0,0.0022,0.0,0.0,0.0152,0.0,0.0043,0.0,0.0477,0.0,0.0,0.0,0.0,0.0,0.0,0.0152,0.0,0.0542,0.0,0.0,0.0108,0.0,0.0022,0.0065,0.026,0.0,0.0282,0.0152,0.013,0.0022,0.0,0.0,0.0,0.0,0.0738,0.6095,0.0694,0.0043
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,www.smwc.edu/,3,4,0.7817,1021.0,1,1 St Mary of Woods Coll,0.0171,0.0114,0.0,0.0,0.0,0.0,0.0057,0.0,0.2743,0.0,0.0,0.0,0.0,0.0114,0.04,0.0343,0.0,0.0114,0.0,0.0,0.0,0.0114,0.0,0.0057,0.0,0.0,0.0743,0.0,0.0857,0.0343,0.0,0.0,0.0,0.0,0.04,0.2686,0.0743,0.0
Saint Mary's College,Notre Dame,IN,https://www.saintmarys.edu/,3,4,0.8389,1259.0,1,133 Le Mans Hall,0.0,0.0318,0.0,0.0159,0.0605,0.0,0.0,0.0,0.0892,0.0,0.0,0.0127,0.0,0.0,0.0159,0.0096,0.0,0.086,0.0478,0.0,0.0287,0.0,0.0191,0.0,0.0318,0.0,0.0701,0.0,0.051,0.0318,0.0,0.0,0.0,0.0,0.0478,0.1975,0.1433,0.0096
Saint Elizabeth School of Nursing,Lafayette,IN,https://www.steson.org/,1,1,1.0,Not Available,1,1501 Hartford Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Taylor University,Upland,IN,https://www.taylor.edu/,3,4,0.7461,1233.0,1,1846 Main Street,0.0,0.0095,0.0,0.0,0.0475,0.0,0.0641,0.0,0.1449,0.0238,0.0,0.0024,0.0,0.0,0.0333,0.0024,0.0,0.1164,0.0143,0.0,0.0285,0.0119,0.0048,0.019,0.0143,0.0,0.0665,0.0,0.0214,0.0428,0.0,0.0,0.0,0.0,0.1188,0.0309,0.1758,0.0071
Trine University,Angola,IN,www.trine.edu/,3,4,0.9188,Not Available,1,1 University Ave,0.0,0.0,0.0,0.0,0.0183,0.0,0.0285,0.0,0.0774,0.3055,0.0794,0.0,0.0,0.0,0.0061,0.0163,0.0,0.053,0.0102,0.0,0.002,0.1731,0.0,0.0,0.0041,0.0,0.0367,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.11,0.0
Valparaiso University,Valparaiso,IN,https://www.valpo.edu/,3,4,0.9415,1260.0,1,US Highway 30 and Sturdy Road,0.0,0.003,0.0,0.0015,0.0271,0.0,0.0317,0.0,0.0468,0.1508,0.0075,0.009,0.0,0.0,0.0181,0.0,0.0,0.0513,0.0121,0.0,0.0196,0.0241,0.0,0.006,0.0302,0.0,0.0513,0.0,0.009,0.0347,0.0,0.0,0.0,0.0,0.0256,0.2956,0.1357,0.009
Vincennes Beauty College,Vincennes,IN,vincennesbeautycollege.com/,1,1,Not Available,Not Available,1,12 S Second St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincennes University,Vincennes,IN,https://www.vinu.edu/,2,3,Not Available,Not Available,1,1002 N First St,0.0133,0.0094,0.0,0.0,0.0039,0.0058,0.022,0.01,0.012,0.0042,0.1384,0.0052,0.0016,0.0013,0.0003,0.4801,0.0,0.0042,0.0,0.0,0.0078,0.0016,0.0003,0.0,0.0013,0.0,0.0,0.0389,0.0104,0.0,0.012,0.048,0.0298,0.0055,0.0071,0.0917,0.0334,0.0003
Wabash College,Crawfordsville,IN,www.wabash.edu/,3,3,0.6149,1230.0,1,301 West Wabash Avenue,0.0,0.0,0.0,0.0136,0.0,0.0,0.0181,0.0,0.0,0.0,0.0,0.0633,0.0,0.0,0.1584,0.0,0.0,0.0995,0.0905,0.0,0.0679,0.0,0.0995,0.0,0.0588,0.0,0.0588,0.0,0.0,0.1674,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0543
Allen College,Waterloo,IA,www.allencollege.edu/,3,4,Not Available,Not Available,1,1990 Heath St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Briar Cliff University,Sioux City,IA,www.briarcliff.edu/,3,4,Not Available,Not Available,1,3303 Rebecca Street,0.0,0.0133,0.0,0.0,0.0267,0.0,0.0267,0.0,0.0533,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.16,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0667,0.0467,0.1067,0.0133,0.0,0.0,0.0,0.0,0.02,0.1667,0.1667,0.02
Buena Vista University,Storm Lake,IA,https://www.bvu.edu/,3,4,0.7727,1115.0,1,610 W 4th St,0.026,0.0071,0.0,0.0,0.0378,0.0071,0.0142,0.0,0.2719,0.0,0.0,0.0,0.0,0.0024,0.0095,0.0189,0.0,0.0355,0.0024,0.0,0.0118,0.026,0.0,0.0,0.0,0.0,0.0638,0.0355,0.1158,0.0118,0.0,0.0,0.0,0.0,0.0142,0.0118,0.2695,0.0071
Capri College-Dubuque,Dubuque,IA,www.capricollege.edu/,1,1,Not Available,Not Available,1,395 Main St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477,0.0,0.0
Capri College-Cedar Rapids,Cedar Rapids,IA,www.capricollege.edu/,1,1,Not Available,Not Available,1,2945 Williams Parkway S.W.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0349,0.0,0.0
Central College,Pella,IA,www.central.edu/,3,3,0.7924,1117.0,1,812 University,0.0,0.0223,0.0,0.0,0.0357,0.0,0.0357,0.0,0.1027,0.0536,0.0,0.0134,0.0,0.0,0.0223,0.0,0.0,0.2857,0.0179,0.0,0.0179,0.0,0.0045,0.0,0.0089,0.0,0.0625,0.0,0.0,0.0982,0.0,0.0,0.0,0.0,0.0223,0.0223,0.1696,0.0045
Clarke University,Dubuque,IA,www.clarke.edu/,3,4,0.848,1055.0,1,1550 Clarke Dr,0.0,0.0,0.0,0.0,0.0201,0.0,0.0403,0.0,0.1208,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0067,0.0,0.0738,0.0,0.0,0.0,0.047,0.0201,0.0,0.0,0.0,0.1275,0.0,0.0604,0.0,0.0,0.0,0.0,0.0,0.047,0.1745,0.2483,0.0
Coe College,Cedar Rapids,IA,www.coe.edu/,3,3,Not Available,Not Available,1,1220 First Ave NE,0.0,0.0,0.0,0.0103,0.0068,0.0,0.024,0.0,0.024,0.0,0.0,0.0068,0.0,0.0,0.0548,0.0,0.0,0.1336,0.0205,0.0,0.0068,0.0616,0.0103,0.0,0.0685,0.0,0.1164,0.0445,0.0,0.0788,0.0,0.0,0.0,0.0,0.0479,0.0719,0.1918,0.0205
Cornell College,Mount Vernon,IA,www.cornellcollege.edu/,3,3,0.7933,1253.0,1,600 First St. SW,0.0,0.0317,0.0,0.009,0.0,0.0,0.0724,0.0,0.0317,0.0769,0.0,0.0271,0.0,0.0,0.0407,0.0407,0.0,0.1041,0.0,0.0,0.0136,0.0905,0.0136,0.0,0.0588,0.0,0.0905,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0633,0.0,0.0995,0.0407
Des Moines Area Community College,Ankeny,IA,www.dmacc.edu/,1,2,Not Available,Not Available,1,2006 Ankeny Blvd,0.0281,0.0,0.0,0.0,0.0,0.0055,0.0487,0.0273,0.003,0.0005,0.0377,0.0,0.0216,0.0074,0.0002,0.2488,0.0,0.0017,0.0002,0.0,0.0002,0.0012,0.0,0.0,0.0007,0.0005,0.0067,0.1033,0.0065,0.0015,0.005,0.0382,0.0735,0.0,0.0199,0.247,0.0648,0.0002
Divine Word College,Epworth,IA,www.dwci.edu/,3,3,Not Available,Not Available,1,102 Jacoby Dr SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dordt University,Sioux Center,IA,https://www.dordt.edu/,3,4,0.8767,1182.0,1,700 7th St SE,0.0983,0.0102,0.0,0.0,0.0441,0.0,0.0339,0.0,0.1593,0.1119,0.0169,0.0,0.0,0.0,0.0169,0.0169,0.0,0.0407,0.0034,0.0,0.0034,0.0237,0.0,0.0136,0.0068,0.0,0.0339,0.0068,0.0441,0.0034,0.0,0.0,0.0,0.0,0.0339,0.0576,0.2068,0.0136
Drake University,Des Moines,IA,www.drake.edu/,3,4,0.6723,1304.0,1,2507 University Avenue,0.0,0.0432,0.0,0.0,0.1007,0.0,0.0432,0.0,0.0576,0.0,0.0,0.0072,0.0,0.0633,0.0288,0.0072,0.0,0.0518,0.0129,0.0,0.0317,0.0058,0.0043,0.0,0.0187,0.0,0.0633,0.0,0.0,0.0662,0.0,0.0,0.0,0.0,0.0791,0.0576,0.2475,0.0101
University of Dubuque,Dubuque,IA,www.dbq.edu/,3,4,0.8505,Not Available,1,2000 University Ave,0.0,0.0188,0.0,0.0,0.0215,0.0,0.0403,0.0,0.0565,0.0,0.0,0.0,0.0,0.0,0.0161,0.0215,0.0,0.0591,0.0108,0.0,0.0027,0.0511,0.0027,0.0,0.0027,0.0,0.043,0.0887,0.0,0.0134,0.0,0.0,0.0,0.1694,0.0108,0.1129,0.2581,0.0
Ellsworth Community College,Iowa Falls,IA,https://ecc.iavalley.edu/,2,2,Not Available,Not Available,1,1100 College Ave,0.186,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0349,0.0,0.0,0.0,0.0,0.0,0.0,0.4128,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0058,0.0349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2616,0.0407,0.0
Emmaus Bible College,Dubuque,IA,https://www.emmaus.edu/,1,3,1.0,1090.0,1,2570 Asbury Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6933,0.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0
Eastern Iowa Community College District,Davenport,IA,www.eicc.edu/,2,2,Not Available,Not Available,1,101 W Third Street,0.0254,0.0,0.0,0.0,0.0009,0.0,0.0332,0.0201,0.0096,0.0,0.0455,0.0149,0.0096,0.0,0.0,0.3876,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0052,0.0192,0.0,0.0009,0.0,0.0464,0.0402,0.0,0.0,0.2625,0.0779,0.0
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,https://faith.edu/,3,4,0.5245,1090.0,1,1900 NW 4th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558,0.0
Graceland University-Lamoni,Lamoni,IA,www.graceland.edu/,3,4,0.7449,Not Available,1,1 University Place,0.0129,0.0,0.0,0.0,0.0129,0.0,0.0216,0.0,0.1293,0.0,0.0,0.0043,0.0,0.0,0.0259,0.0302,0.0,0.0345,0.0129,0.0,0.0172,0.0733,0.0,0.0,0.0,0.0,0.0474,0.0431,0.0,0.0259,0.0,0.0,0.0,0.0,0.0345,0.3362,0.125,0.0129
Grand View University,Des Moines,IA,www.grandview.edu/,3,4,0.9841,Not Available,1,1200 Grandview Ave,0.0,0.0,0.0,0.0,0.0222,0.0,0.0099,0.0,0.1059,0.0,0.0,0.0148,0.0,0.0123,0.0,0.0468,0.0,0.032,0.0123,0.0,0.0049,0.133,0.0,0.0049,0.0,0.0,0.069,0.0542,0.064,0.0074,0.0,0.0,0.0,0.0,0.0369,0.1207,0.234,0.0148
Grinnell College,Grinnell,IA,www.grinnell.edu/,3,3,0.1076,1480.0,1,1121 Park Street,0.0,0.0,0.0,0.0175,0.0,0.0,0.1022,0.0,0.0,0.0,0.0,0.0599,0.0,0.0,0.0623,0.0,0.0,0.1995,0.0748,0.0,0.0175,0.0,0.0299,0.0,0.0698,0.0,0.0648,0.0,0.0,0.2195,0.0,0.0,0.0,0.0,0.0474,0.0,0.0,0.0349
Orion Technical College,Davenport,IA,orion.edu/iowa,1,3,Not Available,Not Available,1,3940 Elmore Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5658,0.0,0.0
Hawkeye Community College,Waterloo,IA,www.hawkeyecollege.edu/,2,2,Not Available,Not Available,1,1501 E Orange Rd,0.0897,0.0195,0.0,0.0,0.0086,0.0108,0.0454,0.0,0.0065,0.0,0.0681,0.0,0.053,0.0,0.0,0.2746,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0281,0.0043,0.0032,0.013,0.04,0.0876,0.0,0.0065,0.1914,0.0422,0.0011
American Hair Academy,Mt. Pleasant,IA,americanhairacademy.com/,1,1,Not Available,Not Available,1,304 South Iris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Hills Community College,Ottumwa,IA,https://www.indianhills.edu/,2,2,Not Available,Not Available,1,525 Grandview Ave,0.0095,0.0,0.0,0.0,0.0041,0.0,0.0313,0.0109,0.0231,0.0014,0.0463,0.0,0.0095,0.0,0.0014,0.3211,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.0109,0.0,0.0054,0.0122,0.0667,0.0871,0.0313,0.0014,0.2531,0.0517,0.0027
Iowa Central Community College,Fort Dodge,IA,www.iowacentral.edu/,2,2,Not Available,Not Available,1,One Triton Circle,0.0212,0.0,0.0,0.0,0.0018,0.0132,0.0229,0.0115,0.0185,0.0018,0.0079,0.0,0.0018,0.0,0.0,0.3633,0.0,0.0,0.0,0.0,0.0026,0.0018,0.0,0.0,0.0,0.0,0.0088,0.0362,0.0115,0.0018,0.0326,0.06,0.0326,0.0,0.0071,0.2937,0.0476,0.0
Iowa Lakes Community College,Estherville,IA,www.iowalakes.edu/,2,2,Not Available,Not Available,1,19 S 7th St,0.1383,0.0064,0.0,0.0,0.0064,0.0,0.0129,0.0129,0.0,0.0,0.0129,0.0,0.0161,0.0032,0.0,0.4662,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,0.0,0.0,0.0547,0.074,0.0322,0.0,0.0161,0.0804,0.045,0.0
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,https://www.unitypoint.org/desmoines//radiologic-technology-certificate-program.aspx,1,1,Not Available,Not Available,1,1200 Pleasant St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Iowa School of Beauty-Des Moines,Des Moines,IA,iowaschoolofbeauty.com/,1,1,Not Available,Not Available,1,3305 70th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,0.0,0.0
Iowa State University,Ames,IA,www.iastate.edu/,3,4,0.9022,1197.0,1,1750 Beardshear Hall,0.0906,0.0124,0.0165,0.0005,0.0311,0.0,0.0437,0.0,0.0401,0.2419,0.0135,0.0063,0.0335,0.0,0.0083,0.011,0.0,0.0645,0.0132,0.0017,0.0101,0.0341,0.0017,0.0,0.0124,0.0,0.0324,0.0181,0.0008,0.0192,0.0,0.0,0.0,0.0,0.0381,0.0112,0.1862,0.0069
