INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,ADM_RATE,SAT_AVG,CURROPER,ADDR,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
Enterprise State Community College,Enterprise,AL,www.escc.edu/,2,2,Not Available,Not Available,1,600 Plaza Drive,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.0,0.0,0.0268,0.0425,0.0,0.2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481,0.0,0.0,0.0,0.1365,0.038,0.0
Coastal Alabama Community College,Bay Minette,AL,www.coastalalabama.edu/,2,2,Not Available,Not Available,1,1900 U S Highway 31 South,0.0079,0.0,0.0,0.0,0.0,0.004,0.0046,0.0158,0.0,0.0,0.099,0.0,0.0046,0.0053,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0706,0.1294,0.0,0.0066,0.305,0.0422,0.0
Faulkner University,Montgomery,AL,www.faulkner.edu/,3,4,0.8241,1021.0,1,5345 Atlanta Hwy,0.0,0.0,0.0,0.0,0.0,0.0,0.0284,0.0,0.0175,0.0,0.0,0.0,0.0,0.0175,0.0109,0.0175,0.0,0.0087,0.0022,0.0,0.0459,0.0459,0.0,0.024,0.0,0.0,0.059,0.1812,0.0,0.0087,0.0,0.0,0.0,0.0,0.0087,0.0153,0.5044,0.0044
Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu/,1,2,Not Available,Not Available,1,1001 George Wallace Dr,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0788,0.0,0.0,0.1242,0.0,0.0191,0.0217,0.0,0.1406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.2714,0.0841,0.0,0.0,0.1761,0.0572,0.0
New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com/,1,1,Not Available,Not Available,1,421 Martling Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George C Wallace Community College-Dothan,Dothan,AL,www.wallace.edu/,1,2,Not Available,Not Available,1,1141 Wallace Drive,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0648,0.0,0.0,0.0609,0.0,0.0697,0.0,0.0,0.2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0108,0.0413,0.0462,0.0,0.0,0.3703,0.055,0.0
George C Wallace State Community College-Hanceville,Hanceville,AL,https://www.wallacestate.edu/,1,2,Not Available,Not Available,1,801 Main St NW,0.0028,0.0,0.0,0.0,0.0,0.0,0.0184,0.0252,0.0,0.0,0.0584,0.0,0.0396,0.0032,0.0,0.1032,0.0,0.0,0.0,0.0,0.1603,0.0,0.0004,0.0,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.1471,0.0704,0.008,0.0092,0.2899,0.0476,0.0
George C Wallace State Community College-Selma,Selma,AL,https://www.wccs.edu/,2,2,Not Available,Not Available,1,3000 Earl Goodwin Parkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0152,0.0,0.0,0.0517,0.0,0.0,0.0,0.0,0.4559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246,0.0122,0.1003,0.0,0.0,0.1733,0.0426,0.0
Herzing University-Birmingham,Birmingham,AL,https://www.herzing.edu/,1,4,0.9412,Not Available,1,280 West Valley Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136,0.07,0.0
Huntingdon College,Montgomery,AL,www.huntingdon.edu/,3,3,0.6595,1086.0,1,1500 East Fairview Avenue,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.1029,0.0098,0.0,0.0,0.1765,0.0196,0.0,0.0098,0.0,0.0735,0.0735,0.0,0.0294,0.0,0.0,0.0,0.0,0.0196,0.0245,0.3971,0.0196
Heritage Christian University,Florence,AL,www.hcu.edu/,3,4,1.0,Not Available,1,3625 Helton Dr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. F. Drake State Community and Technical College,Huntsville,AL,https://www.drakestate.edu/,1,2,Not Available,Not Available,1,3421 Meridian St N,0.0,0.0,0.0,0.0,0.0,0.0,0.0299,0.1497,0.0,0.0,0.2575,0.0,0.0,0.0,0.0,0.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.509,0.006,0.0
